coord_key,Latitude,Longitude,Temperature,Humidity,Rainfall,Soil_pH,Nitrogen,Phosphorus_est,Potassium,Organic_C,Soil_Type
33.1200_1.6400,33.12,1.64,18.73,42.73,201,8.3,3.9,1.95,10.08,4.3,Sandy
33.1200_1.7200,33.12,1.72,18.97,42.38,195,8.4,3.8,1.9,10.16,4.8,Sandy
33.1200_1.8000,33.12,1.8,18.97,42.38,195,8.3,3.9,1.95,10.08,4.2,Sandy
33.1200_1.8800,33.12,1.88,19.18,42.06,183.3,8.4,4.2,2.1,10.32,4.4,Sandy
33.1200_1.9600,33.12,1.96,19.28,42.25,170,8.4,4.3,2.15,10.08,4.2,Sandy
33.1200_2.0400,33.12,2.04,19.28,42.25,170,8.3,4.2,2.1,10.24,5.1,Sandy
33.1200_2.1200,33.12,2.12,19.39,42.2,159.3,8.3,4.9,2.45,10.72,5.4,Sandy
33.1200_2.2000,33.12,2.2,19.38,42.08,147.7,8.3,4.1,2.05,9.76,4.3,Sandy
33.1200_2.2800,33.12,2.28,19.28,42.29,163.9,8.4,4.9,2.45,10.32,5.3,Sandy
33.1200_2.3600,33.12,2.36,19.28,42.29,163.9,8.3,3.8,1.9,10,3.3,Sandy
33.1200_2.4400,33.12,2.44,19.28,42.21,140.7,8.3,3.9,1.95,9.44,4.4,Sandy
33.1200_2.5200,33.12,2.52,19.4,42.01,153.6,8.3,3.8,1.9,10.24,3.6,Sandy
33.1200_2.6000,33.12,2.6,19.4,42.01,153.6,8.3,4.4,2.2,9.76,3.9,Sandy
33.1200_2.6800,33.12,2.68,19.49,42.13,168.2,8.4,3.7,1.85,9.68,3.9,Sandy
33.1200_2.7600,33.12,2.76,19.52,42.19,147,8.4,3.7,1.85,9.92,3.6,Sandy
33.1200_2.8400,33.12,2.84,19.57,42.12,154.2,8.4,3.7,1.85,9.6,3.6,Sandy
33.1200_2.9200,33.12,2.92,19.57,42.12,154.2,8.3,4,2,10.96,3.7,Sandy
33.1200_3.0000,33.12,3,19.6,42.17,160.8,8.3,4.5,2.25,10.16,3.9,Sandy
33.1200_3.0800,33.12,3.08,19.64,42.23,149.5,8.4,4.6,2.3,10.88,3.2,Sandy
33.1200_3.1600,33.12,3.16,19.65,42.37,152.4,8.3,4.5,2.25,10.56,3.2,Sandy
33.1200_3.2400,33.12,3.24,19.65,42.37,152.4,8.3,4,2,8.48,3.6,Sandy
33.1200_3.3200,33.12,3.32,19.66,42.1,142.2,8.3,3.9,1.95,9.12,3.2,Sandy
33.1200_3.4000,33.12,3.4,19.67,42.15,134.5,8.3,4.2,2.1,8.96,3.5,Sandy
33.1200_3.4800,33.12,3.48,19.67,42.15,134.5,8.3,4.7,2.35,8.64,4.6,Sandy
33.1200_3.5600,33.12,3.56,19.86,41.91,187.3,8.3,4.5,2.25,8.88,3.9,Sandy
33.1200_3.6400,33.12,3.64,20.22,41.29,153,8.3,4.3,2.15,9.12,3.8,Sandy
33.1200_3.7200,33.12,3.72,20.52,40.91,192.1,8.3,4.1,2.05,10.08,3.9,Sandy
33.1200_3.8000,33.12,3.8,20.52,40.91,192.1,8.3,3.9,1.95,8.88,3.8,Sandy
33.1200_3.8800,33.12,3.88,20.73,40.66,166.2,8.3,4.7,2.35,8.8,3.9,Sandy
33.1200_3.9600,33.12,3.96,20.95,40.1,156.7,8.3,4.5,2.25,8.96,3.2,Sandy
33.1200_4.0400,33.12,4.04,20.95,40.1,156.7,8.3,4,2,9.2,3.3,Sandy
33.1200_4.1200,33.12,4.12,21.17,39.82,155.1,8.4,4.3,2.15,9.04,3.5,Sandy
33.1200_4.2000,33.12,4.2,21.31,39.9,160.8,8.3,4.1,2.05,8.56,3.8,Sandy
33.1200_4.2800,33.12,4.28,21.4,39.77,156.2,8.3,4,2,9.36,3.4,Sandy
33.1200_4.3600,33.12,4.36,21.4,39.77,156.2,8.3,4.4,2.2,8.56,3.1,Sandy
33.1200_4.4400,33.12,4.44,21.52,39.64,147.3,8.3,5.1,2.55,8.64,3.1,Sandy
33.1200_4.5200,33.12,4.52,21.76,39.28,148.3,8.3,5.5,2.75,9.12,3.7,Sandy
33.1200_4.6000,33.12,4.6,22.02,39.06,134.8,8.4,4.6,2.3,9.6,3.5,Sandy
33.1200_4.6800,33.12,4.68,22.02,39.06,134.8,8.3,4.5,2.25,9.84,3.1,Sandy
33.1200_4.7600,33.12,4.76,22.13,39.34,142,8.3,4.7,2.35,9.84,3.6,Sandy
33.1200_4.8400,33.12,4.84,22.23,39.41,147.9,8.2,4.8,2.4,10.08,3.5,Sandy
33.1200_4.9200,33.12,4.92,22.23,39.41,147.9,8.2,5,2.5,9.36,3.6,Sandy
33.1200_5.0000,33.12,5,22.47,39.02,130.1,8.2,4.7,2.35,9.44,2.9,Sandy
33.1200_5.0800,33.12,5.08,22.78,38.67,122.9,8.2,4.7,2.35,9.6,3.8,Sandy
33.1200_5.1600,33.12,5.16,23,38.92,117.8,8.3,6.8,3.4,11.04,3.9,Sandy
33.1200_5.2400,33.12,5.24,23,38.92,117.8,8.3,6.1,3.05,10.4,4.1,Sandy
33.1200_5.3200,33.12,5.32,23.01,39.62,98.6,8.2,5.2,2.6,10.64,5,Silt
33.1200_5.4000,33.12,5.4,22.89,40.23,90.7,8.3,3.9,1.95,10.56,3.6,Clay
33.1200_5.4800,33.12,5.48,22.86,40.1,98.1,8.3,3.6,1.8,8.88,3.4,Silt
33.1200_5.5600,33.12,5.56,22.86,40.1,98.1,8.4,4.5,2.25,10,4.7,Silt
33.1200_5.6400,33.12,5.64,22.89,40.23,101.8,8.4,4.1,2.05,10,3.8,Sandy
33.1200_5.7200,33.12,5.72,22.88,40.8,102.8,8.4,4.5,2.25,10.48,3.7,Clay
33.1200_5.8000,33.12,5.8,22.88,40.8,102.8,8.4,6.1,3.05,11.2,3.8,Silt
33.1200_5.8800,33.12,5.88,22.83,41.43,95.5,8.3,5.7,2.85,10.24,5.9,Sandy
33.1200_5.9600,33.12,5.96,22.89,41.14,92.5,8.3,4.4,2.2,9.04,5.3,Sandy
33.1200_6.0400,33.12,6.04,23.35,39.83,88.8,8.2,4.2,2.1,10.16,5.8,Sandy
33.1200_6.1200,33.12,6.12,23.35,39.83,88.8,8.2,5.2,2.6,9.92,4.5,Silt
33.1200_6.2000,33.12,6.2,23.04,41.08,104.6,8.3,4.9,2.45,10.4,5.8,Sandy
33.1200_6.2800,33.12,6.28,22.67,41.69,118.6,8.2,5.3,2.65,10.56,4.5,Clay
33.1200_6.3600,33.12,6.36,22.67,41.69,118.6,8.3,5.4,2.7,10.56,4.4,Clay
33.1200_6.4400,33.12,6.44,22.6,42.05,85.3,8.2,11.5,5.75,10.32,4.4,Clay
33.1200_6.5200,33.12,6.52,22.58,42.18,83.8,8.2,11.3,5.65,11.92,4.5,Sandy
33.1200_6.6000,33.12,6.6,22.58,42.31,68.6,8.3,12,6,11.76,5.5,Sandy
33.1200_6.6800,33.12,6.68,22.58,42.31,68.6,8.2,11.4,5.7,11.92,4.8,Sandy
33.1200_6.7600,33.12,6.76,22.53,42.57,89.5,8.1,11,5.5,11.12,5.8,Sandy
33.1200_6.8400,33.12,6.84,22.52,42.66,101.9,8.1,11,5.5,10.32,4.4,Clay
33.1200_6.9200,33.12,6.92,22.52,42.81,94.9,8.1,10.7,5.35,12.24,3.8,Sandy
33.1200_7.0000,33.12,7,22.52,42.81,94.9,8.1,10.7,5.35,10.56,4.2,Clay
33.1200_7.0800,33.12,7.08,22.49,43.12,90.2,8,11.1,5.55,13.6,5.7,Clay
33.1200_7.1600,33.12,7.16,22.45,43.36,69,8,11.5,5.75,9.36,4.1,Sandy
33.1200_7.2400,33.12,7.24,22.45,43.36,69,8.1,4.6,2.3,9.84,3.7,Sandy
33.1200_7.3200,33.12,7.32,22.4,43.57,73,8,4.6,2.3,9.6,3.6,Clay
33.1200_7.4000,33.12,7.4,22.4,43.71,73.9,8,5,2.5,9.12,3.6,Silt
33.1200_7.4800,33.12,7.48,22.42,43.83,65.5,8,5,2.5,11.36,3.7,Silt
33.1200_7.5600,33.12,7.56,22.42,43.83,65.5,7.9,4.9,2.45,10.88,5.8,Silt
33.1200_7.6400,33.12,7.64,22.42,43.9,70.9,7.9,4.6,2.3,10.56,5.9,Silt
33.1200_7.7200,33.12,7.72,22.41,44.25,66.1,7.9,4.8,2.4,10.8,3.8,Sandy
33.1200_7.8000,33.12,7.8,22.41,44.25,66.1,7.9,4.6,2.3,10.48,5.9,Sandy
33.1200_7.8800,33.12,7.88,22.41,44.4,69.9,7.9,5.3,2.65,12.56,7.1,Sandy
33.1200_7.9600,33.12,7.96,22.42,44.5,80.7,7.9,4.7,2.35,11.36,4.4,Sandy
33.1200_8.0400,33.12,8.04,22.46,44.61,70.7,8,4.8,2.4,10.96,6,Sandy
33.1200_8.1200,33.12,8.12,22.46,44.61,70.7,7.9,4.9,2.45,9.92,6,Sandy
33.1200_8.2000,33.12,8.2,22.49,44.73,82,8,4.7,2.35,10.08,4,Sandy
33.1200_8.2800,33.12,8.28,22.46,44.76,78.4,7.9,4.8,2.4,10.56,6.2,Sandy
33.1200_8.3600,33.12,8.36,22.42,44.98,84,8,4.6,2.3,10.88,6,Sandy
33.1200_8.4400,33.12,8.44,22.42,44.98,84,8.1,5.1,2.55,10,5.8,Sandy
33.1200_8.5200,33.12,8.52,22.39,45.33,93.2,8,5,2.5,10.16,5.8,Sandy
33.1200_8.6000,33.12,8.6,22.36,45.4,100.7,8.1,5.1,2.55,10.48,5.9,Sandy
33.1200_8.6800,33.12,8.68,22.36,45.4,100.7,8.1,4.4,2.2,10.32,3.2,Sandy
33.2000_-2.2000,33.2,-2.2,17.1,47.01,251.8,7.9,6.6,3.3,11.52,7.7,Sandy
33.2000_-2.1200,33.2,-2.12,17,47.04,234.1,7.9,6.3,3.15,11.76,6.6,Sandy
33.2000_-2.0400,33.2,-2.04,16.9,47.08,252.9,7.9,5.9,2.95,11.12,6.5,Sandy
33.2000_-1.9600,33.2,-1.96,16.9,47.08,252.9,8,5.7,2.85,10.8,7.9,Sandy
33.2000_-1.8800,33.2,-1.88,17,47.17,285.1,8,6.3,3.15,11.76,7,Sandy
33.2000_-1.8000,33.2,-1.8,17.08,47.05,323.3,8,6.1,3.05,11.92,7.2,Sandy
33.2000_-1.7200,33.2,-1.72,17.08,47.05,323.3,8.1,6,3,11.36,6.4,Sandy
33.2000_-1.6400,33.2,-1.64,17.08,46.9,313.9,8.1,6.3,3.15,11.04,8.7,Sandy
33.2000_-1.5600,33.2,-1.56,17.15,46.55,347.8,8.1,5.9,2.95,10.56,6.6,Sandy
33.2000_-1.4800,33.2,-1.48,17.19,46.47,303.6,8.1,5.6,2.8,11.28,6.3,Sandy
33.2000_-1.4000,33.2,-1.4,17.19,46.47,303.6,8.1,5.5,2.75,11.12,6.6,Sandy
33.2000_-1.3200,33.2,-1.32,17.18,46.61,309.8,8.2,6.1,3.05,11.2,5.8,Sandy
33.2000_-1.2400,33.2,-1.24,17.1,46.8,336.9,8.2,5.8,2.9,11.12,8.3,Sandy
33.2000_-1.1600,33.2,-1.16,16.84,47.14,369.1,8.2,6.1,3.05,12.24,9.1,Sandy
33.2000_-1.0800,33.2,-1.08,16.84,47.14,369.1,8.1,5.7,2.85,10.64,9.1,Sandy
33.2000_-1.0000,33.2,-1,16.63,47.37,384.6,8.2,5.7,2.85,10.8,5.9,Sandy
33.2000_-0.9200,33.2,-0.92,16.51,48.08,376.8,8.1,5.4,2.7,10.4,7.5,Sandy
33.2000_-0.8400,33.2,-0.84,16.51,48.08,376.8,8.1,6,3,10.16,9.6,Sandy
33.2000_-0.7600,33.2,-0.76,16.65,47.73,340.5,8.1,6.4,3.2,11.52,9.1,Sandy
33.2000_-0.6800,33.2,-0.68,16.84,47.32,314,8,5.9,2.95,10.72,9.3,Sandy
33.2000_-0.6000,33.2,-0.6,16.98,46.79,299.8,8.1,5.8,2.9,9.36,8.5,Sandy
33.2000_-0.5200,33.2,-0.52,16.98,46.79,299.8,8.1,5.9,2.95,10.48,10,Sandy
33.2000_-0.4400,33.2,-0.44,16.99,46.8,271.3,8,5.9,2.95,11.12,10.1,Sandy
33.2000_-0.3600,33.2,-0.36,16.8,47.18,271,8.1,5.2,2.6,10.88,9.1,Sandy
33.2000_-0.2800,33.2,-0.28,16.8,47.18,271,8.1,5.2,2.6,11.2,7.1,Sandy
33.2000_-0.2000,33.2,-0.2,16.55,47.59,290.9,8.2,5.5,2.75,11.2,9.4,Sandy
33.2000_-0.1200,33.2,-0.12,16.41,47.45,284,8.1,5.6,2.8,10.16,7.2,Sandy
33.2000_-0.0400,33.2,-0.04,16.26,47.57,284.7,8.1,5.6,2.8,12,8.9,Sandy
33.2000_0.0400,33.2,0.04,16.26,47.57,284.7,8.2,5.5,2.75,11.36,8.3,Sandy
33.2000_0.1200,33.2,0.12,15.06,46.96,295.1,8.1,7.2,3.6,9.92,9.9,Sandy
33.2000_0.2000,33.2,0.2,16.2,47.98,252.5,8.1,5.3,2.65,11.6,6.1,Sandy
33.2000_0.2800,33.2,0.28,16.5,47.55,225.9,8.2,5.4,2.7,11.6,8.5,Sandy
33.2000_0.3600,33.2,0.36,16.5,47.55,225.9,8.2,5.2,2.6,11.6,5.6,Sandy
33.2000_0.4400,33.2,0.44,16.88,46.28,219.8,8.2,5.5,2.75,12.48,5.8,Sandy
33.2000_0.5200,33.2,0.52,16.96,45.97,197.3,8.2,4.9,2.45,12,8,Sandy
33.2000_0.6000,33.2,0.6,16.96,45.97,197.3,8.1,5.3,2.65,10.4,6.5,Sandy
33.2000_0.6800,33.2,0.68,16.81,46.48,226.1,8.1,5.2,2.6,11.6,5.5,Sandy
33.2000_0.7600,33.2,0.76,15.83,45.72,238.6,8.2,8,4,10.96,7.5,Sandy
33.2000_0.8400,33.2,0.84,17.34,45.63,228.8,8.2,5.5,2.75,11.2,6.4,Sandy
33.2000_0.9200,33.2,0.92,17.34,45.63,228.8,8.2,5.2,2.6,11.84,9,Sandy
33.2000_1.0000,33.2,1,17.67,44.97,216,8.2,5.4,2.7,11.12,8.1,Sandy
33.2000_1.0800,33.2,1.08,17.82,44.54,243.6,8.2,4.9,2.45,12,5.3,Sandy
33.2000_1.1600,33.2,1.16,17.82,44.54,243.6,8.2,4.8,2.4,10.16,6.7,Sandy
33.2000_1.2400,33.2,1.24,18.09,43.68,255.2,8.2,4.7,2.35,10.4,7.3,Sandy
33.2000_1.3200,33.2,1.32,18.35,43.3,202.2,8.2,9,4.5,10.56,6.7,Sandy
33.2000_1.4000,33.2,1.4,18.4,43.22,190.1,8.2,4.5,2.25,11.04,6.3,Sandy
33.2000_1.4800,33.2,1.48,18.4,43.22,190.1,8.1,6.5,3.25,11.84,7.1,Sandy
33.2000_1.5600,33.2,1.56,18.38,43.39,204.5,8.2,4.2,2.1,11.44,6.8,Sandy
33.2000_1.6400,33.2,1.64,18.47,43.4,205.4,8.2,4.8,2.4,10.32,7.5,Sandy
33.2000_1.7200,33.2,1.72,18.66,43.07,214.5,8.3,4.4,2.2,9.92,4.6,Sandy
33.2000_1.8000,33.2,1.8,18.66,43.07,214.5,8.2,4.6,2.3,10.24,5.8,Sandy
33.2000_1.8800,33.2,1.88,18.88,42.84,205.2,8.3,4.5,2.25,10.48,6.4,Sandy
33.2000_1.9600,33.2,1.96,19.01,42.93,184.2,8.3,3.9,1.95,10.4,4.9,Sandy
33.2000_2.0400,33.2,2.04,19.01,42.93,184.2,8.3,3.9,1.95,9.84,3.7,Sandy
33.2000_2.1200,33.2,2.12,19.14,42.67,155.3,8.3,3.8,1.9,9.68,4.2,Sandy
33.2000_2.2000,33.2,2.2,19.17,42.54,168.1,8.4,4.2,2.1,9.04,4.3,Sandy
33.2000_2.2800,33.2,2.28,19.08,42.75,160.9,8.4,3.9,1.95,9.52,3.9,Sandy
33.2000_2.3600,33.2,2.36,19.08,42.75,160.9,8.3,4.2,2.1,8.32,5.1,Sandy
33.2000_2.4400,33.2,2.44,19,42.98,149.2,8.3,4,2,8.08,3.4,Sandy
33.2000_2.5200,33.2,2.52,19.13,42.62,138.1,8.4,3.8,1.9,9.6,4.2,Sandy
33.2000_2.6000,33.2,2.6,19.13,42.62,138.1,8.3,4,2,9.92,4.5,Sandy
33.2000_2.6800,33.2,2.68,19.28,42.49,149.2,8.3,4,2,10.4,4.6,Sandy
33.2000_2.7600,33.2,2.76,19.37,42.52,170.7,8.3,4,2,11.04,3.9,Sandy
33.2000_2.8400,33.2,2.84,19.41,42.49,164.6,8.4,4,2,10.64,5.9,Sandy
33.2000_2.9200,33.2,2.92,19.41,42.49,164.6,8.3,4,2,9.76,4.2,Sandy
33.2000_3.0000,33.2,3,19.42,42.72,167.5,8.4,3.9,1.95,10.32,4.2,Sandy
33.2000_3.0800,33.2,3.08,19.48,42.68,149.4,8.3,3.7,1.85,10.96,5.6,Sandy
33.2000_3.1600,33.2,3.16,19.56,42.54,160.8,8.3,3.7,1.85,11.28,4.7,Sandy
33.2000_3.2400,33.2,3.24,19.56,42.54,160.8,8.3,4.3,2.15,9.52,4.8,Sandy
33.2000_3.3200,33.2,3.32,19.6,42.47,133.2,8.3,4.1,2.05,9.68,4.1,Sandy
33.2000_3.4000,33.2,3.4,19.67,42.37,170.9,8.3,4.6,2.3,9.2,7.6,Sandy
33.2000_3.4800,33.2,3.48,19.67,42.37,170.9,8.3,4.1,2.05,8.8,5.3,Sandy
33.2000_3.5600,33.2,3.56,19.83,42.07,181,8.3,3.8,1.9,8.32,4.4,Sandy
33.2000_3.6400,33.2,3.64,20.1,41.6,190.2,8.3,4.1,2.05,8.08,4.3,Sandy
33.2000_3.7200,33.2,3.72,20.36,41.25,187.9,8.3,4.6,2.3,8.88,4.4,Sandy
33.2000_3.8000,33.2,3.8,20.36,41.25,187.9,8.3,4.1,2.05,8.8,4,Sandy
33.2000_3.8800,33.2,3.88,20.51,41.02,153.1,8.3,4.4,2.2,9.6,3.8,Sandy
33.2000_3.9600,33.2,3.96,20.7,40.73,146.7,8.3,4.2,2.1,9.12,4.3,Sandy
33.2000_4.0400,33.2,4.04,20.7,40.73,146.7,8.4,4,2,9.12,4,Sandy
33.2000_4.1200,33.2,4.12,20.9,40.44,156.6,8.4,4.5,2.25,9.04,3.7,Sandy
33.2000_4.2000,33.2,4.2,21.1,40.28,168.4,8.3,4.1,2.05,8.4,4.1,Sandy
33.2000_4.2800,33.2,4.28,21.26,40.1,183.6,8.3,5,2.5,9.12,3.9,Sandy
33.2000_4.3600,33.2,4.36,21.26,40.1,183.6,8.3,4.1,2.05,8.72,3,Sandy
33.2000_4.4400,33.2,4.44,21.39,39.97,172,8.3,4.2,2.1,8.96,3.3,Sandy
33.2000_4.5200,33.2,4.52,21.65,39.61,173.8,8.4,4.4,2.2,9.2,3.4,Sandy
33.2000_4.6000,33.2,4.6,21.91,39.39,164.2,8.4,4.8,2.4,9.12,3,Sandy
33.2000_4.6800,33.2,4.68,21.91,39.39,164.2,8.3,4.3,2.15,9.36,3,Sandy
33.2000_4.7600,33.2,4.76,22.02,39.57,140.5,8.2,4.6,2.3,9.6,3.1,Sandy
33.2000_4.8400,33.2,4.84,22.12,39.65,124.4,8.3,4.7,2.35,9.68,3.7,Sandy
33.2000_4.9200,33.2,4.92,22.12,39.65,124.4,8.3,3.6,1.8,10.56,3.4,Sandy
33.2000_5.0000,33.2,5,22.39,39.37,129.2,8.3,5.1,2.55,10.56,3.5,Sandy
33.2000_5.0800,33.2,5.08,22.82,38.74,131.7,8.3,4.5,2.25,9.68,3.3,Sandy
33.2000_5.1600,33.2,5.16,23.1,38.96,114.8,8.3,5.2,2.6,10.72,3.8,Sandy
33.2000_5.2400,33.2,5.24,23.1,38.96,114.8,8.3,5.1,2.55,10.24,4.1,Sandy
33.2000_5.3200,33.2,5.32,23.05,39.86,95.4,8.3,4.7,2.35,10.56,4.9,Clay
33.2000_5.4000,33.2,5.4,22.85,40.52,93.1,8.3,4.4,2.2,10.32,4.1,Silt
33.2000_5.4800,33.2,5.48,22.85,40.52,93.1,8.3,5,2.5,10.08,4.8,Silt
33.2000_5.5600,33.2,5.56,22.79,40.33,103,8.4,4.8,2.4,9.52,4.2,Sandy
33.2000_5.6400,33.2,5.64,22.86,40.35,104,8.4,4.1,2.05,9.04,3.6,Sandy
33.2000_5.7200,33.2,5.72,22.82,41.1,99.5,8.4,4.3,2.15,9.52,5.2,Sandy
33.2000_5.8000,33.2,5.8,22.82,41.1,99.5,8.3,4.7,2.35,9.44,5.7,Sandy
33.2000_5.8800,33.2,5.88,22.76,41.8,103.3,8.3,5,2.5,9.36,5.9,Sandy
33.2000_5.9600,33.2,5.96,22.81,41.54,93.9,8.3,4.7,2.35,10.88,3.9,Sandy
33.2000_6.0400,33.2,6.04,22.81,41.54,93.9,8.3,4.7,2.35,9.92,4.2,Sandy
33.2000_6.1200,33.2,6.12,23.1,40.72,98.7,8.3,4.3,2.15,10,4.3,Sandy
33.2000_6.2000,33.2,6.2,22.81,41.56,118.2,8.3,5.9,2.95,10.64,4.3,Sandy
33.2000_6.2800,33.2,6.28,22.64,41.96,108.7,8.2,5.2,2.6,9.84,4.4,Clay
33.2000_6.3600,33.2,6.36,22.64,41.96,108.7,8.2,4.8,2.4,11.84,4,Sandy
33.2000_6.4400,33.2,6.44,22.55,42.33,99.4,8.2,4.4,2.2,13.2,5.9,Clay
33.2000_6.5200,33.2,6.52,22.56,42.42,91.7,8.2,4.4,2.2,11.84,3.9,Sandy
33.2000_6.6000,33.2,6.6,22.54,42.58,87.1,8.2,4.4,2.2,11.12,4.2,Sandy
33.2000_6.6800,33.2,6.68,22.54,42.58,87.1,8.2,4.7,2.35,11.2,3.9,Clay
33.2000_6.7600,33.2,6.76,22.52,42.68,83.2,8.2,11.1,5.55,11.04,3.9,Clay
33.2000_6.8400,33.2,6.84,22.54,42.73,75.7,8.2,11.6,5.8,12.96,4.5,Sandy
33.2000_6.9200,33.2,6.92,22.54,42.73,75.7,8.1,4.8,2.4,10.56,4.1,Sandy
33.2000_7.0000,33.2,7,22.53,42.92,102.2,8.1,11.4,5.7,9.76,6.1,Sandy
33.2000_7.0800,33.2,7.08,22.49,43.32,96.1,8,10.8,5.4,9.92,4.4,Sandy
33.2000_7.1600,33.2,7.16,22.39,43.75,92.9,8.1,11.3,5.65,14.24,6.1,Sandy
33.2000_7.2400,33.2,7.24,22.39,43.75,92.9,8,4.7,2.35,9.28,6.1,Sandy
33.2000_7.3200,33.2,7.32,22.35,44,65.8,8,4.7,2.35,12.08,6.6,Sandy
33.2000_7.4000,33.2,7.4,22.35,44.12,64.9,8,4.5,2.25,11.12,3.5,Sandy
33.2000_7.4800,33.2,7.48,22.35,44.12,64.9,8,5.5,2.75,9.44,4,Sandy
33.2000_7.5600,33.2,7.56,22.39,44.19,60.1,8,4.7,2.35,11.84,3.8,Silt
33.2000_7.6400,33.2,7.64,22.38,44.36,60.9,8,5,2.5,11.68,6.1,Sandy
33.2000_7.7200,33.2,7.72,22.4,44.43,62.2,7.9,5.3,2.65,12.8,6.7,Clay
33.2000_7.8000,33.2,7.8,22.4,44.43,62.2,8,5.3,2.65,10.8,6.4,Sandy
33.2000_7.8800,33.2,7.88,22.42,44.7,57.7,7.9,5.3,2.65,10.48,6.6,Sandy
33.2000_7.9600,33.2,7.96,22.43,44.77,66.7,7.9,5.1,2.55,10.72,6.3,Sandy
33.2000_8.0400,33.2,8.04,22.46,44.99,89.8,7.9,4.9,2.45,11.12,6.1,Sandy
33.2000_8.1200,33.2,8.12,22.46,44.99,89.8,8,5.1,2.55,10.8,3.2,Sandy
33.2000_8.2000,33.2,8.2,22.47,45.15,88.5,8,4.8,2.4,9.76,6.2,Sandy
33.2000_8.2800,33.2,8.28,22.42,45.36,82.4,8,5.1,2.55,10.48,5.9,Sandy
33.2000_8.3600,33.2,8.36,22.42,45.36,82.4,8,4.9,2.45,10.24,4.3,Sandy
33.2000_8.4400,33.2,8.44,22.38,45.62,98.5,7.9,5.2,2.6,10.16,5.6,Sandy
33.2000_8.5200,33.2,8.52,22.33,45.96,85.3,7.9,4.5,2.25,12.24,5.9,Silt
33.2000_8.6000,33.2,8.6,22.33,46.06,99,8.1,6.2,3.1,10.64,6,Sandy
33.2000_8.6800,33.2,8.68,22.33,46.06,99,8.1,6.1,3.05,11.2,5.9,Silt
33.2800_-2.2000,33.28,-2.2,17.12,47.49,270.4,7.9,7.2,3.6,12.24,8.4,Sandy
33.2800_-2.1200,33.28,-2.12,17.13,47.44,264.4,8,6.5,3.25,12.8,6.2,Sandy
33.2800_-2.0400,33.28,-2.04,17.15,47.22,273.4,8,6.6,3.3,12.08,8.2,Sandy
33.2800_-1.9600,33.28,-1.96,17.15,47.22,273.4,8,6.3,3.15,11.04,5.7,Sandy
33.2800_-1.8800,33.28,-1.88,17.13,47.33,279.5,8,6,3,12.4,8.1,Sandy
33.2800_-1.8000,33.28,-1.8,17.1,47.72,312.1,8,6,3,12.16,5.6,Sandy
33.2800_-1.7200,33.28,-1.72,17.1,47.32,314.6,8.1,6,3,12.56,6.1,Sandy
33.2800_-1.6400,33.28,-1.64,17.1,47.32,314.6,8.1,5.7,2.85,10.88,5.8,Sandy
33.2800_-1.5600,33.28,-1.56,17.2,47.11,326.7,8.1,5.5,2.75,11.2,5.9,Sandy
33.2800_-1.4800,33.28,-1.48,17.21,47.02,324.9,8.1,5.9,2.95,10.48,6,Sandy
33.2800_-1.4000,33.28,-1.4,17.21,47.02,324.9,8.1,6.1,3.05,11.2,5.9,Sandy
33.2800_-1.3200,33.28,-1.32,17.15,47.36,316.2,8.2,5.7,2.85,11.12,7,Sandy
33.2800_-1.2400,33.28,-1.24,17.21,47.15,301.9,8.2,5.8,2.9,11.36,9.1,Sandy
33.2800_-1.1600,33.28,-1.16,17.16,46.96,323.2,8.2,5.6,2.8,11.36,9.1,Sandy
33.2800_-1.0800,33.28,-1.08,17.16,46.96,323.2,8.2,5.8,2.9,11.52,8.6,Sandy
33.2800_-1.0000,33.28,-1,16.99,47.03,365.8,8.2,6.2,3.1,11.52,9.1,Sandy
33.2800_-0.9200,33.28,-0.92,16.75,47.64,395.1,8.2,5.8,2.9,10.8,9.7,Sandy
33.2800_-0.8400,33.28,-0.84,16.75,47.64,395.1,8.1,6.5,3.25,10.72,6.9,Sandy
33.2800_-0.7600,33.28,-0.76,16.71,47.92,329.5,8,6.3,3.15,11.2,6.9,Sandy
33.2800_-0.6800,33.28,-0.68,16.75,47.84,345.4,8.1,6.2,3.1,11.12,9.1,Sandy
33.2800_-0.6000,33.28,-0.6,16.88,47.69,332.6,8.1,6,3,11.36,8.8,Sandy
33.2800_-0.5200,33.28,-0.52,16.88,47.69,332.6,8.1,5.7,2.85,10.24,9,Sandy
33.2800_-0.4400,33.28,-0.44,16.99,47.26,331.4,8.1,5.8,2.9,11.12,9.5,Sandy
33.2800_-0.3600,33.28,-0.36,17.07,46.78,308.4,8.1,5.7,2.85,9.68,8.9,Sandy
33.2800_-0.2800,33.28,-0.28,17.07,46.78,308.4,8.2,5.1,2.55,9.28,6.6,Sandy
33.2800_-0.2000,33.28,-0.2,16.72,47.48,282.4,8.1,5.5,2.75,10.16,9,Sandy
33.2800_-0.1200,33.28,-0.12,16.5,47.73,313,8.2,5.1,2.55,11.68,10.2,Sandy
33.2800_-0.0400,33.28,-0.04,16.38,47.89,343.4,8.2,5.6,2.8,12.08,5.4,Sandy
33.2800_0.0400,33.28,0.04,16.38,47.89,343.4,8.1,5.3,2.65,10.64,6.4,Sandy
33.2800_0.1200,33.28,0.12,16.29,48,326.7,8.2,5.5,2.75,12.08,9.4,Sandy
33.2800_0.2000,33.28,0.2,16.18,48.31,299,8.1,5.4,2.7,11.92,6.8,Sandy
